Time,Nodes,Symptomatic
22,36,31.1897
22,37,64.0635
22,38,46.1071
22,39,13.0974
22,40,56.0186
22,41,77.5966
22,42,40.2316
22,43,71.5796
22,44,27.519
22,45,45.7234
22,46,34.1397
22,47,34.492
23,1,29.487
23,2,1.74576
23,3,38.851
23,4,29.5442
23,5,28.5048
23,6,22.6005
23,7,13.986
23,8,41.7824
23,9,20.5187
23,10,18.2471
23,11,42.1869
23,12,36.557
23,13,9.21352
23,14,34.7988
23,15,12.6211
23,16,54.0794
23,17,58.3752
23,18,33.4381
23,19,57.6857
23,20,5.44776
23,21,34.543
23,22,4.44437
23,23,29.141
23,24,6.62985
23,25,8.63509
23,26,40.7867
23,27,15.6138
23,28,7.39806
23,29,15.1932
23,30,24.0612
23,31,32.196
23,32,13.7269
23,33,43.7706
23,34,33.3293
23,35,34.5652
23,36,26.6874
23,37,54.815
23,38,39.457
23,39,11.2066
23,40,47.9362
23,41,66.3967
23,42,34.4247
23,43,61.248
23,44,23.5467
23,45,39.123
23,46,29.2143
23,47,29.5159
24,1,25.2541
24,2,1.49522
24,3,33.2566
24,4,25.3018
24,5,24.412
24,6,19.3533
24,7,11.9766
24,8,35.7856
24,9,17.5704
24,10,15.6254
24,11,36.1288
24,12,31.3008
24,13,7.88963
24,14,29.8027
24,15,10.8077
24,16,46.3056
24,17,49.9883
24,18,28.6378
24,19,49.3999
24,20,4.66504
24,21,29.58
24,22,3.80604
24,23,24.9556
24,24,5.67698
24,25,7.39507
24,26,34.9268
24,27,13.3688
24,28,6.33424
24,29,13.0089
24,30,20.6027
24,31,27.568
24,32,11.7554
24,33,37.4821
24,34,28.5376
24,35,29.5989
24,36,22.8507
24,37,46.9338
24,38,33.7902
24,39,9.59537
24,40,41.0487
24,41,56.8525
24,42,29.4763
24,43,52.4438
24,44,20.1616
24,45,33.4984
24,46,25.0172
24,47,25.2753
25,1,21.6471
25,2,1.28172
25,3,28.4889
25,4,21.6868
25,5,20.9244
25,6,16.586
25,7,10.2643
25,8,30.6756
25,9,15.0579
25,10,13.3913
25,11,30.9665
25,12,26.8215
25,13,6.76146
25,14,25.5452
25,15,9.26231
25,16,39.6809
25,17,42.8415
25,18,24.5474
25,19,42.3391
25,20,3.99803
25,21,25.3509
25,22,3.2621
25,23,21.389
25,24,4.86497
25,25,6.33841
25,26,29.9333
25,27,11.4556
25,28,5.42766
25,29,11.1476
25,30,17.6555
25,31,23.6242
25,32,10.0754
25,33,32.1232
25,34,24.4541
25,35,25.3668
25,36,19.581
25,37,40.2176
25,38,28.9613
25,39,8.2223
25,40,35.1795
25,41,48.7192
25,42,25.2594
25,43,44.941
25,44,17.277
25,45,28.7052
25,46,21.4406
25,47,21.6616
26,1,18.5734
26,2,1.09979
26,3,24.4256
26,4,18.6062
26,5,17.9524
26,6,14.2279
26,7,8.80519
26,8,26.3213
26,9,12.9168
26,10,11.4875
26,11,26.5674
26,12,23.0043
26,13,5.80006
26,14,21.9173
26,15,7.94539
26,16,34.0354
26,17,36.7511
26,18,21.0617
26,19,36.3222
26,20,3.42963
26,21,21.7469
26,22,2.79857
26,23,18.3497
26,24,4.17298
26,25,5.43797
26,26,25.678
26,27,9.82526
26,28,4.65507
26,29,9.56131
26,30,15.1439
26,31,20.2633
26,32,8.64376
26,33,27.5566
26,34,20.9743
26,35,21.7603
26,36,16.7947
26,37,34.494
26,38,24.8463
26,39,7.05217
26,40,30.178
26,41,41.7881
26,42,21.6657
26,43,38.5473
26,44,14.8187
26,45,24.6205
26,46,18.3927
26,47,18.5821
