Time,Nodes,Symptomatic
15,40,56.3169
15,41,77.5391
15,42,40.2145
15,43,71.5587
15,44,27.4936
15,45,45.6525
15,46,34.3779
15,47,33.2207
16,1,30.0315
16,2,1.77572
16,3,37.8095
16,4,29.9414
16,5,28.9351
16,6,22.7219
16,7,14.0748
16,8,42.7062
16,9,20.6147
16,10,18.4023
16,11,42.8745
16,12,36.4111
16,13,9.25524
16,14,35.3159
16,15,12.6955
16,16,54.0569
16,17,58.8067
16,18,33.9865
16,19,58.2602
16,20,5.47792
16,21,34.8186
16,22,4.49363
16,23,29.4606
16,24,6.62761
16,25,8.79081
16,26,41.2245
16,27,15.5751
16,28,7.36373
16,29,15.1559
16,30,24.0658
16,31,32.1763
16,32,13.8712
16,33,44.1707
16,34,33.2368
16,35,34.7796
16,36,26.6423
16,37,54.651
16,38,39.9331
16,39,11.1606
16,40,48.1954
16,41,66.357
16,42,34.415
16,43,61.2389
16,44,23.5285
16,45,39.0686
16,46,29.4201
16,47,28.4368
17,1,25.719
17,2,1.52077
17,3,32.3804
17,4,25.6421
17,5,24.7802
17,6,19.4592
17,7,12.0538
17,8,36.5733
17,9,17.6546
17,10,15.7596
17,11,36.7173
17,12,31.1827
17,13,7.92625
17,14,30.2449
17,15,10.8725
17,16,46.2945
17,17,50.3622
17,18,29.1063
17,19,49.8944
17,20,4.69133
17,21,29.8186
17,22,3.84837
17,23,25.2302
17,24,5.676
17,25,7.52829
17,26,35.304
17,27,13.3385
17,28,6.30632
17,29,12.9796
17,30,20.6101
17,31,27.556
17,32,11.8794
17,33,37.8275
17,34,28.4642
17,35,29.7854
17,36,22.8165
17,37,46.8032
17,38,34.1988
17,39,9.55801
17,40,41.275
17,41,56.8287
17,42,29.4732
17,43,52.4452
17,44,20.1499
17,45,33.4584
17,46,25.1956
17,47,24.3604
18,1,22.0442
18,2,1.30353
18,3,27.7542
18,4,21.9786
18,5,21.2397
18,6,16.679
18,7,10.3317
18,8,31.3475
18,9,15.1322
18,10,13.5078
18,11,31.4706
18,12,26.7275
18,13,6.7938
18,14,25.9238
18,15,9.31907
18,16,39.6802
